Embryo_ID,Area,Mean,Min,Max,Median,Slice,Frame,MinThr,MaxThr
121216Spry_Y8_mov,0.919,48.833,40,64,45,28,5,40,65535
121216Spry_Y8_mov,0.689,58,44,91,51,29,5,40,65535
121216Spry_Y8_mov,0.46,46.667,43,50,46,30,5,40,65535
121216Spry_Y8_mov,0,NaN,65535,33,NaN,31,5,40,65535
121216Spry_Y8_mov,0,NaN,65535,22,NaN,32,5,40,65535
121216Spry_Y8_mov,0,NaN,65535,34,NaN,33,5,40,65535
121216Spry_Y8_mov,0,NaN,65535,16,NaN,34,5,40,65535
121216Spry_Y8_mov,0,NaN,65535,17,NaN,35,5,40,65535
121216Spry_Y8_mov,0,NaN,65535,17,NaN,36,5,40,65535
121216Spry_Y8_mov,0,NaN,65535,24,NaN,37,5,40,65535
121216Spry_Y8_mov,0,NaN,65535,27,NaN,38,5,40,65535
121216Spry_Y8_mov,0,NaN,65535,34,NaN,39,5,40,65535
121216Spry_Y8_mov,0,NaN,65535,21,NaN,40,5,40,65535
121216Spry_Y8_mov,0,NaN,65535,12,NaN,41,5,40,65535
121216Spry_Y8_mov,0,NaN,65535,19,NaN,42,5,40,65535
121216Spry_Y8_mov,0,NaN,65535,11,NaN,43,5,40,65535
121216Spry_Y8_mov,0,NaN,65535,19,NaN,44,5,40,65535
121216Spry_Y8_mov,0,NaN,65535,13,NaN,45,5,40,65535
121216Spry_Y8_mov,0,NaN,65535,12,NaN,46,5,40,65535
121216Spry_Y8_mov,0,NaN,65535,11,NaN,47,5,40,65535
121216Spry_Y8_mov,0,NaN,65535,11,NaN,48,5,40,65535
121216Spry_Y8_mov,0,NaN,65535,29,NaN,49,5,40,65535
121216Spry_Y8_mov,249.235,73.521,40,218,65,1,6,40,65535
121216Spry_Y8_mov,266.852,67.418,40,276,59,2,6,40,65535
121216Spry_Y8_mov,259.192,68.222,40,254,62,3,6,40,65535
121216Spry_Y8_mov,204.428,62.589,40,160,56,4,6,40,65535
121216Spry_Y8_mov,138.634,59.31,40,186,54,5,6,40,65535
121216Spry_Y8_mov,107.078,58.099,40,157,52,6,6,40,65535
121216Spry_Y8_mov,110.678,58.708,40,173,54,7,6,40,65535
121216Spry_Y8_mov,102.865,61.067,40,155,56,8,6,40,65535
121216Spry_Y8_mov,100.108,59.026,40,148,54,9,6,40,65535
121216Spry_Y8_mov,86.244,59.048,40,135,54,10,6,40,65535
121216Spry_Y8_mov,46.339,54.225,40,125,50,11,6,40,65535
121216Spry_Y8_mov,28.646,52.783,40,101,49,12,6,40,65535
121216Spry_Y8_mov,32.705,52.81,40,114,49,13,6,40,65535
121216Spry_Y8_mov,47.871,55.811,40,128,52,14,6,40,65535
121216Spry_Y8_mov,49.556,54.173,40,122,51,15,6,40,65535
121216Spry_Y8_mov,54.305,57.028,40,149,53,16,6,40,65535
121216Spry_Y8_mov,51.701,57.801,40,129,54,17,6,40,65535
121216Spry_Y8_mov,36.458,55.519,40,148,52,18,6,40,65535
121216Spry_Y8_mov,22.365,54.637,40,114,52,19,6,40,65535
121216Spry_Y8_mov,11.872,51.826,40,100,48,20,6,40,65535
121216Spry_Y8_mov,5.974,48.397,40,78,45,21,6,40,65535
121216Spry_Y8_mov,4.136,50,40,90,46,22,6,40,65535
121216Spry_Y8_mov,6.051,48.063,40,90,46,23,6,40,65535
121216Spry_Y8_mov,4.979,51.292,40,83,48,24,6,40,65535
121216Spry_Y8_mov,4.442,53.655,40,94,49,25,6,40,65535
121216Spry_Y8_mov,1.225,49.625,43,64,51,26,6,40,65535
121216Spry_Y8_mov,2.145,50.821,40,74,51,27,6,40,65535
121216Spry_Y8_mov,0.46,46.167,41,48,48,28,6,40,65535
121216Spry_Y8_mov,0.077,51,51,51,51,29,6,40,65535
121216Spry_Y8_mov,0,NaN,65535,33,NaN,30,6,40,65535
121216Spry_Y8_mov,0,NaN,65535,22,NaN,31,6,40,65535
121216Spry_Y8_mov,0,NaN,65535,28,NaN,32,6,40,65535
